[INFO] [1775501113.648573797] [pi_metrics_publisher]: Pi Metrics | t: 2.807 | CPU: 76.2% | Mem: 11.6% | Temp: 69.1 C
[INFO] [1775501113.698408593] [pi_metrics_publisher]: Pi Metrics | t: 2.857 | CPU: 38.9% | Mem: 11.6% | Temp: 68.2 C
[INFO] [1775501113.748386389] [pi_metrics_publisher]: Pi Metrics | t: 2.907 | CPU: 68.4% | Mem: 11.6% | Temp: 70.1 C
[INFO] [1775501113.798440611] [pi_metrics_publisher]: Pi Metrics | t: 2.957 | CPU: 54.5% | Mem: 11.6% | Temp: 69.6 C
[INFO] [1775501113.848837648] [pi_metrics_publisher]: Pi Metrics | t: 3.007 | CPU: 5.9% | Mem: 11.6% | Temp: 68.7 C
[INFO] [1775501113.898386408] [pi_metrics_publisher]: Pi Metrics | t: 3.057 | CPU: 33.3% | Mem: 11.6% | Temp: 69.1 C
[INFO] [1775501113.948389204] [pi_metrics_publisher]: Pi Metrics | t: 3.107 | CPU: 63.2% | Mem: 11.6% | Temp: 69.6 C
[INFO] [1775501113.998512296] [pi_metrics_publisher]: Pi Metrics | t: 3.157 | CPU: 73.7% | Mem: 11.6% | Temp: 69.1 C
[INFO] [1775501114.048559241] [pi_metrics_publisher]: Pi Metrics | t: 3.207 | CPU: 47.4% | Mem: 11.6% | Temp: 68.7 C
[INFO] [1775501114.098359907] [pi_metrics_publisher]: Pi Metrics | t: 3.257 | CPU: 28.6% | Mem: 11.6% | Temp: 68.7 C
[INFO] [1775501114.148377852] [pi_metrics_publisher]: Pi Metrics | t: 3.307 | CPU: 36.8% | Mem: 11.6% | Temp: 68.2 C
[INFO] [1775501114.198355815] [pi_metrics_publisher]: Pi Metrics | t: 3.357 | CPU: 36.8% | Mem: 11.6% | Temp: 67.7 C
[INFO] [1775501114.248420130] [pi_metrics_publisher]: Pi Metrics | t: 3.407 | CPU: 33.3% | Mem: 11.6% | Temp: 67.7 C
[INFO] [1775501114.298358278] [pi_metrics_publisher]: Pi Metrics | t: 3.457 | CPU: 30.0% | Mem: 11.6% | Temp: 68.7 C
[INFO] [1775501114.348423389] [pi_metrics_publisher]: Pi Metrics | t: 3.507 | CPU: 33.3% | Mem: 11.7% | Temp: 68.7 C
[INFO] [1775501114.398369741] [pi_metrics_publisher]: Pi Metrics | t: 3.557 | CPU: 38.1% | Mem: 11.7% | Temp: 68.7 C
[INFO] [1775501114.448315778] [pi_metrics_publisher]: Pi Metrics | t: 3.607 | CPU: 33.3% | Mem: 11.7% | Temp: 68.7 C
[INFO] [1775501114.498387333] [pi_metrics_publisher]: Pi Metrics | t: 3.657 | CPU: 36.8% | Mem: 11.7% | Temp: 68.2 C
[INFO] [1775501114.548358037] [pi_metrics_publisher]: Pi Metrics | t: 3.707 | CPU: 31.6% | Mem: 11.7% | Temp: 68.2 C
[INFO] [1775501114.598489296] [pi_metrics_publisher]: Pi Metrics | t: 3.757 | CPU: 38.9% | Mem: 11.7% | Temp: 68.2 C
[INFO] [1775501114.648644426] [pi_metrics_publisher]: Pi Metrics | t: 3.807 | CPU: 42.1% | Mem: 11.7% | Temp: 68.2 C
[INFO] [1775501114.698499685] [pi_metrics_publisher]: Pi Metrics | t: 3.857 | CPU: 72.7% | Mem: 11.7% | Temp: 69.6 C
