Time: 1143.6 | CPU: 26.3158 | Mem: 50.1404 | Temp: 63.296
Time: 1143.65 | CPU: 26.3158 | Mem: 50.1404 | Temp: 62.322
Time: 1143.7 | CPU: 26.3158 | Mem: 50.1404 | Temp: 62.809
Time: 1143.75 | CPU: 15.7895 | Mem: 50.1404 | Temp: 62.322
Time: 1143.8 | CPU: 25 | Mem: 50.1404 | Temp: 63.296
Time: 1143.85 | CPU: 10.5263 | Mem: 50.1404 | Temp: 63.296
Time: 1143.9 | CPU: 23.8095 | Mem: 50.1404 | Temp: 63.296
Time: 1143.95 | CPU: 10.5263 | Mem: 50.1404 | Temp: 62.322
Time: 1144 | CPU: 21.0526 | Mem: 50.1404 | Temp: 63.296
Time: 1144.05 | CPU: 15 | Mem: 50.1404 | Temp: 62.322
Time: 1144.1 | CPU: 21.0526 | Mem: 50.1404 | Temp: 62.322
Time: 1144.15 | CPU: 15 | Mem: 50.1404 | Temp: 62.809
Time: 1144.2 | CPU: 27.7778 | Mem: 50.1436 | Temp: 61.835
Time: 1144.25 | CPU: 36.8421 | Mem: 50.1 | Temp: 62.809
Time: 1144.3 | CPU: 25 | Mem: 50.1003 | Temp: 63.296
Time: 1144.35 | CPU: 16.6667 | Mem: 50.1003 | Temp: 62.322
Time: 1144.4 | CPU: 61.9048 | Mem: 50.1003 | Temp: 62.322
Time: 1144.45 | CPU: 77.7778 | Mem: 50.1193 | Temp: 64.27
Time: 1144.5 | CPU: 71.4286 | Mem: 50.1128 | Temp: 63.296
Time: 1144.55 | CPU: 60 | Mem: 50.1189 | Temp: 63.296
Time: 1144.6 | CPU: 17.6471 | Mem: 50.1186 | Temp: 62.809
Time: 1144.65 | CPU: 15 | Mem: 50.1186 | Temp: 63.783
Time: 1144.7 | CPU: 25 | Mem: 50.1183 | Temp: 63.296
Time: 1144.75 | CPU: 15.7895 | Mem: 50.1183 | Temp: 62.809
Time: 1144.8 | CPU: 25 | Mem: 50.1183 | Temp: 62.809
Time: 1144.85 | CPU: 15.7895 | Mem: 50.1183 | Temp: 63.296
Time: 1144.9 | CPU: 25 | Mem: 50.1183 | Temp: 62.322
Time: 1144.95 | CPU: 10.5263 | Mem: 50.1183 | Temp: 62.809
Time: 1145 | CPU: 21.0526 | Mem: 50.1183 | Temp: 63.296
Time: 1145.05 | CPU: 22.7273 | Mem: 50.1183 | Temp: 62.322
Time: 1145.1 | CPU: 16.6667 | Mem: 50.1183 | Temp: 62.809
Time: 1145.15 | CPU: 10.5263 | Mem: 50.1183 | Temp: 62.322
Time: 1145.2 | CPU: 28.5714 | Mem: 50.1183 | Temp: 62.322
Time: 1145.25 | CPU: 15.7895 | Mem: 50.1183 | Temp: 62.322
