time,cpu,mem,temp
13.307,72.2,15.3,72.1
13.357,80.0,15.3,72.1
13.407,84.2,15.3,73.0
13.457,85.0,15.3,72.5
13.507,63.2,15.3,72.5
13.557,50.0,15.3,72.5
13.608,77.3,15.3,73.0
13.659,83.3,15.3,72.1
13.707,84.2,15.2,72.5
13.758,95.5,15.2,72.1
13.807,94.4,15.2,72.5
13.857,90.5,15.2,72.1
13.907,77.8,15.2,72.5
13.957,85.7,15.2,72.5
14.007,94.4,15.2,73.0
14.057,90.0,15.3,72.5
14.107,100.0,15.2,74.0
14.157,95.5,15.2,73.0
14.207,89.5,15.0,73.0
14.257,65.0,15.0,72.5
14.307,50.0,15.0,72.5
14.357,55.0,15.0,73.0
14.407,47.4,15.0,71.6
14.458,70.0,15.0,72.5
14.508,90.9,15.0,73.5
14.557,88.9,15.0,72.5
14.607,83.3,15.1,72.5
14.657,81.0,15.1,73.0
14.708,81.0,15.0,74.0
14.758,78.9,15.0,72.5
14.807,52.9,15.0,73.5
14.857,65.0,15.1,72.1
14.907,70.0,15.1,72.5
14.964,87.0,15.1,74.0
15.007,93.8,15.1,74.0
15.059,90.0,15.1,73.0
15.107,80.0,15.1,72.5
15.160,90.9,15.1,73.0
15.207,94.1,15.2,73.5
15.257,95.0,15.2,73.5
15.311,100.0,15.3,74.0
15.358,100.0,15.4,74.0
15.407,100.0,15.4,73.0
15.459,100.0,15.4,72.5
15.508,95.2,15.4,73.0
15.558,100.0,15.5,73.5
15.607,94.7,15.5,73.0
15.659,95.2,15.6,73.5
15.707,100.0,15.6,73.0
15.760,100.0,15.7,73.0
15.807,100.0,15.6,74.0
15.860,100.0,15.6,73.5
15.922,100.0,15.6,72.5
15.957,93.8,15.6,73.5
16.008,95.0,15.6,73.5
16.057,100.0,15.6,73.5
16.108,95.2,15.7,74.0
16.158,100.0,15.7,75.0
16.208,95.2,15.8,74.5
16.257,100.0,15.8,74.0
16.309,95.5,15.8,74.5
16.359,100.0,15.8,75.0
16.409,90.9,15.8,74.0
16.456,63.2,15.8,74.5
16.507,85.0,15.8,74.0
16.557,95.2,15.8,74.5
16.608,94.7,15.8,74.0
16.657,94.7,15.9,75.0
16.708,90.5,16.0,75.0
16.759,94.4,16.0,73.5
16.811,90.5,16.0,73.5
16.859,100.0,16.1,74.5
16.914,100.0,16.1,74.0
16.958,100.0,16.2,75.0
17.007,100.0,16.2,74.5
17.061,100.0,16.2,74.5
17.108,100.0,16.3,73.0
17.168,100.0,16.3,75.0
17.210,100.0,16.3,74.5
17.259,95.0,16.3,74.0
17.307,100.0,16.3,74.5
17.359,95.5,16.3,74.5
17.407,100.0,16.3,74.0
17.457,94.7,16.3,75.0
17.507,82.4,16.3,74.5
17.559,75.0,16.3,74.5
17.606,61.1,16.3,74.0
17.656,43.8,16.3,74.0
17.707,89.5,16.4,73.5
17.768,92.0,16.4,74.5
17.809,94.1,16.2,74.5
17.858,94.7,16.2,73.5
17.906,100.0,16.3,73.5
17.958,95.2,16.3,74.5
18.007,100.0,16.3,74.0
18.057,100.0,16.4,74.0
18.108,95.2,16.4,74.5
18.158,100.0,16.4,73.5
18.207,100.0,16.4,74.5
18.257,90.5,16.4,74.5
18.307,100.0,16.4,75.0
18.356,61.1,16.4,74.5
18.406,72.2,16.4,74.5
18.456,63.6,16.4,74.5
18.510,90.0,16.4,75.0
18.558,90.0,16.5,73.5
18.607,94.7,16.5,74.5
18.656,90.5,16.5,75.0
18.708,80.0,16.6,73.5
18.758,89.5,16.6,75.0
18.807,88.9,16.6,73.5
18.858,100.0,16.6,74.5
18.906,85.0,16.6,74.5
18.956,85.0,16.6,75.0
19.007,89.5,16.6,74.5
19.057,83.3,16.6,73.5
19.108,70.0,16.6,75.0
19.156,77.8,16.6,74.0
19.207,82.4,16.6,75.0
19.256,76.2,16.6,74.5
19.306,72.2,16.7,75.0
19.357,85.0,16.7,74.0
19.408,95.2,16.7,74.5
19.458,100.0,16.8,74.0
19.507,80.0,16.8,73.0
